name,description,latitude,longitude,category
"Cherokee National Forest USFS near Elizabethton, TN off of Panhandle Rd, flat parking spot in a pushoff just off of Panhandle Rd","Cherokee National Forest USFS near Elizabethton, TN off of Panhandle Rd, flat parking spot in a pushoff just off of Panhandle Rd.  Privacy behind parking spot, but road lies in front of the pushoff.  Road sees light use (1 car every 20-40 min) as a forest service road. Accessed off of TN 91 north east of Elizabethton.  There was no road sign for Panhandle Rd as the road was under construction.",36.45515,-82.09069,Free Camping
"Coconino National Forest USFS, near Sycamore Pass Rd, flat parking spot","Coconino National Forest USFS, near Sycamore Pass Rd, flat parking spot. Near the end of a small spur road. Not far from Sedona.  Shrub trees provide moderate privacy.",34.85794,-111.94703,Free Camping
Roosevelt National Forest USFS,"Roosevelt National Forest USFS.  VERY SMALL.  But nice view.  Difficult to get your vehicle flat.  Veer left at the fork in CR-47 (Larimer County) and it takes you up to a parking area.  Jeep road heads north and south from parking area.  Head south, and pull off is on your right.  Site has little privacy from the jeep road / parking area.  Definitely not for RVs.  4wd recommended.  If you have a very good 4wd vehicle, you might be able to camp nearby further South (or North) off of the 4wd road.  You *might* be able to find another spot closer to the gravel.  Great for accessing Estes Park and Rocky Mountain National Park.  Off of CR 47 (Larimer County).",40.25008,-105.41351,Free Camping
Lindsay Mtn Trailhead near Bell Mtn Wilderness,Lindsay Mtn Trailhead near Bell Mtn Wilderness.,37.62835,-90.83071,Free Camping
"You can camp at the trailheads(there are three) and in the over 12,000 acres of Hercules Glades","You can camp at the trailheads(there are three) and in the over 12,000 acres of Hercules Glades.  You can only access the wilderness area itself by horse or foot, but the camping at the trailhead is fine and FREE. Two of the trailheads(at the lookout tower and coy bald) have picnic tables and fire rings, one(Blair Ridge Road) is just a place to park(3 maybe 4 vehicles)but around it there is PLENTY of room to set up and camp.  I would NOT try to get an RV to coy bald, but the lookout tower trailhead is used by horse trailers and is a short gravel road off Hwy 125.    

Hercules Glades Wilderness Area is 12,413 acres of the most scenic and unique country in the Midwest. Its combination of open grassland, forested knobs, steep rocky hillsides, and narrow drainages offers unusual beauty and a measure of solitude within easy reach of wilderness lovers. The area is characterized by shallow droughty soils and limestone rock outcroppings. Eastern red cedar and oak trees are interspersed with open glades supporting native tall prairie grasses. Redbud and dogwood provide beautiful spring flowers, while smoke tree and maple put on vivid fall colors. A variety of wildlife species live within the Hercules Glades including white-tailed deer, raccoons rabbits, squirrels, turkey, quail, songbirds, lizards and snakes. Copperheads and rattlesnakes may be encountered. Roadrunners, collared lizards, tarantulas, wild hogs and black bears are some of the more uncommon wildlife residents.
 
Trails: From the trailheads there is 32 miles of maintained trails which follows along open glades, forested ridgetops and Long Creek, the primary drainage of the area. Cross country hiking in other parts of the area is allowed. Key attractions along the trail include Long Creek Falls, panoramic views of the Ozarks countryside, and a variety of native communities including open limestone glades and mixed forests.
Rating: More Difficult to Most Difficult with steep terrain, stream crossings, sparsely marked trail, and elevations from 600 to 1200 feet.
Length: 32 miles
Best Seasons: Fall, winter, and spring.
Leave No Trace: Pack out what you pack in.
Restrictions: Foot and Horse only.
 No drinking water is available at parking areas or along the trail; bring what you will need, or be prepared to sterilize water you find.

 HAPPY CAMPING!!!",36.68465,-92.88165,Free Camping
"Near Woodland Park just off Rampart Range Rd, not far from Pikes Peak and Colorado springs","Near Woodland Park just off Rampart Range Rd, not far from Pikes Peak and Colorado springs.",38.99234,-105.02261,Free Camping
"Silverthorne, Dillon campsite","Silverthorne, Dillon campsite.",39.711,-106.16697,Free Camping
"Arapaho NRA campsite, in the national forest","Arapaho NRA campsite, in the national forest",40.05166,-105.76773,Free Camping
"Gunnison or Grand Mesa National Forest, Rd 3100, Hotchkiss, Austin, CO","Gunnison or Grand Mesa National Forest, Rd 3100, Hotchkiss, Austin, CO.",38.99371,-107.70828,Free Camping
"Gunnison National Forest, FSCR 721, near Curecanti NRA, Spinero, Cimarron, and Black Canyon of the Gunnison","Gunnison National Forest, FS/CR 721, near Curecanti NRA, Spinero, Cimarron, and Black Canyon of the Gunnison.",38.55315,-107.32545,Free Camping
